team,maps_played,wins_draws_lose,total_kills,total_death,k_d_ratio,team,name,total_kills_from_crew,headshots_from_crew,total_death_from_crew,k_d_ratio_from_crew,maps_played_from_crew,rating_2_0_from_crew,team,opponent,map_map,result,w_l
,,,,,,,,,,,,,,MOUZ,EYEBALLERS,Mirage,13 - 8,W
,,,,,,,,,,,,,,MOUZ,Cloud9,Ancient,13 - 7,W
,,,,,,,,,,,,,,MOUZ,G2,Vertigo,11 - 13,L
,,,,,,,,,,,,,,MOUZ,Complexity,Ancient,13 - 10,W
,,,,,,,,,,,,,,MOUZ,FaZe,Nuke,18 - 22,L
,,,,,,,,,,,,,,MOUZ,Lynn Vision,Inferno,13 - 7,W
,,,,,,,,,,,,,,MOUZ,Wings Up,Inferno,13 - 2,W
,,,,,,,,,,,,,,MOUZ,Complexity,Inferno,13 - 2,W
,,,,,,,,,,,,,,MOUZ,M80,Vertigo,13 - 11,W
,,,,,,,,,,,,,,MOUZ,BetBoom,Overpass,13 - 10,W
,,,,,,,,,,,,,,MOUZ,VERTEX,Inferno,13 - 2,W
,,,,,,,,,,,,,,MOUZ,Liquid,Mirage,13 - 6,W
,,,,,,,,,,,,,,MOUZ,Liquid,Inferno,13 - 11,W
,,,,,,,,,,,,,,MOUZ,TYLOO,Overpass,13 - 11,W
,,,,,,,,,,,,,,MOUZ,Complexity,Ancient,13 - 2,W
,,,,,,,,,,,,,,MOUZ,Complexity,Overpass,13 - 1,W
,,,,,,,,,,,,,,MOUZ,ECSTATIC,Overpass,13 - 11,W
,,,,,,,,,,,,,,MOUZ,ECSTATIC,Overpass,13 - 8,W
,,,,,,,,,,,,,,MOUZ,FaZe,Ancient,11 - 13,L
,,,,,,,,,,,,,,MOUZ,FaZe,Nuke,3 - 13,L
,,,,,,,,,,,,,,MOUZ,GamerLegion,Ancient,13 - 6,W
,,,,,,,,,,,,,,MOUZ,GamerLegion,Overpass,16 - 14,W
,,,,,,,,,,,,,,MOUZ,Preasy,Nuke,13 - 9,W
,,,,,,,,,,,,,,MOUZ,Preasy,Inferno,8 - 13,L
,,,,,,,,,,,,,,MOUZ,Preasy,Ancient,13 - 2,W
,,,,,,,,,,,,,,MOUZ,Eternal Fire,Nuke,8 - 13,L
,,,,,,,,,,,,,,MOUZ,Eternal Fire,Vertigo,13 - 10,W
,,,,,,,,,,,,,,MOUZ,Eternal Fire,Inferno,14 - 16,L
,,,,,,,,,,,,,,MOUZ,EYEBALLERS,Mirage,13 - 8,W
,,,,,,,,,,,,,,MOUZ,Cloud9,Ancient,13 - 7,W
,,,,,,,,,,,,,,MOUZ,Cloud9,Mirage,13 - 1,W
,,,,,,,,,,,,,,MOUZ,G2,Vertigo,11 - 13,L
,,,,,,,,,,,,,,MOUZ,G2,Ancient,10 - 13,L
,,,,,,,,,,,,,,MOUZ,Complexity,Ancient,13 - 10,W
,,,,,,,,,,,,,,MOUZ,Complexity,Inferno,13 - 11,W
,,,,,,,,,,,,,,MOUZ,Complexity,Overpass,7 - 13,L
,,,,,,,,,,,,,,MOUZ,FaZe,Nuke,18 - 22,L
,,,,,,,,,,,,,,MOUZ,FaZe,Mirage,7 - 13,L
,,,,,,,,,,,,,,MOUZ,Lynn Vision,Inferno,13 - 7,W
,,,,,,,,,,,,,,MOUZ,Lynn Vision,Overpass,13 - 3,W
,,,,,,,,,,,,,,MOUZ,Wings Up,Inferno,13 - 2,W
,,,,,,,,,,,,,,MOUZ,Complexity,Inferno,13 - 2,W
,,,,,,,,,,,,,,MOUZ,Complexity,Overpass,9 - 13,L
,,,,,,,,,,,,,,MOUZ,Complexity,Nuke,13 - 3,W
,,,,,,,,,,,,,,MOUZ,M80,Vertigo,13 - 11,W
,,,,,,,,,,,,,,MOUZ,M80,Ancient,13 - 7,W
,,,,,,,,,,,,,,MOUZ,BetBoom,Overpass,13 - 10,W
,,,,,,,,,,,,,,MOUZ,BetBoom,Ancient,7 - 13,L
,,,,,,,,,,,,,,MOUZ,BetBoom,Mirage,19 - 15,W
,,,,,,,,,,,,,,MOUZ,VERTEX,Inferno,13 - 2,W
,,,,,,,,,,,,,,MOUZ,FURIA,Mirage,13 - 9,W
,,,,,,,,,,,,,,MOUZ,G2,Vertigo,6 - 13,L
,,,,,,,,,,,,,,MOUZ,Eternal Fire,Vertigo,13 - 11,W
,,,,,,,,,,,,,,MOUZ,Spirit,Mirage,13 - 11,W
,,,,,,,,,,,,,,MOUZ,Guild Eagles,Ancient,16 - 14,W
,,,,,,,,,,,,,,MOUZ,ENCE,Ancient,13 - 3,W
,,,,,,,,,,,,,,MOUZ,Cloud9,Ancient,22 - 20,W
,,,,,,,,,,,,,,MOUZ,Spirit,Ancient,6 - 13,L
,,,,,,,,,,,,,,MOUZ,HEROIC,Ancient,16 - 12,W
,,,,,,,,,,,,,,MOUZ,FaZe,Overpass,11 - 13,L
,,,,,,,,,,,,,,MOUZ,HEROIC,Mirage,13 - 5,W
,,,,,,,,,,,,,,MOUZ,FURIA,Ancient,7 - 13,L
,,,,,,,,,,,,,,MOUZ,Apeks,Inferno,16 - 19,L
,,,,,,,,,,,,,,MOUZ,Astralis,Vertigo,13 - 7,W
,,,,,,,,,,,,,,MOUZ,FaZe,Overpass,8 - 13,L
,,,,,,,,,,,,,,MOUZ,FaZe,Ancient,4 - 13,L
,,,,,,,,,,,,,,MOUZ,Spirit,Mirage,6 - 13,L
,,,,,,,,,,,,,,MOUZ,FaZe,Vertigo,9 - 13,L
,,,,,,,,,,,,,,MOUZ,Natus Vincere,Ancient,13 - 6,W
,,,,,,,,,,,,,,MOUZ,FURIA,Mirage,13 - 9,W
,,,,,,,,,,,,,,MOUZ,FURIA,Vertigo,16 - 14,W
,,,,,,,,,,,,,,MOUZ,FURIA,Nuke,8 - 13,L
,,,,,,,,,,,,,,MOUZ,G2,Vertigo,6 - 13,L
,,,,,,,,,,,,,,MOUZ,G2,Inferno,9 - 13,L
,,,,,,,,,,,,,,MOUZ,Eternal Fire,Vertigo,13 - 11,W
,,,,,,,,,,,,,,MOUZ,Spirit,Mirage,13 - 11,W
,,,,,,,,,,,,,,MOUZ,Spirit,Vertigo,13 - 10,W
,,,,,,,,,,,,,,MOUZ,Guild Eagles,Ancient,16 - 14,W
,,,,,,,,,,,,,,MOUZ,ENCE,Ancient,13 - 3,W
,,,,,,,,,,,,,,MOUZ,ENCE,Vertigo,13 - 5,W
,,,,,,,,,,,,,,MOUZ,Cloud9,Ancient,22 - 20,W
,,,,,,,,,,,,,,MOUZ,Cloud9,Mirage,13 - 8,W
,,,,,,,,,,,,,,MOUZ,Cloud9,Overpass,8 - 13,L
,,,,,,,,,,,,,,MOUZ,Spirit,Ancient,6 - 13,L
,,,,,,,,,,,,,,MOUZ,Spirit,Mirage,2 - 13,L
,,,,,,,,,,,,,,MOUZ,HEROIC,Ancient,16 - 12,W
,,,,,,,,,,,,,,MOUZ,FaZe,Overpass,11 - 13,L
,,,,,,,,,,,,,,MOUZ,FaZe,Mirage,11 - 13,L
,,,,,,,,,,,,,,MOUZ,HEROIC,Mirage,13 - 5,W
,,,,,,,,,,,,,,MOUZ,HEROIC,Nuke,13 - 7,W
,,,,,,,,,,,,,,MOUZ,FURIA,Ancient,7 - 13,L
,,,,,,,,,,,,,,MOUZ,FURIA,Mirage,11 - 13,L
,,,,,,,,,,,,,,MOUZ,Apeks,Inferno,16 - 19,L
,,,,,,,,,,,,,,MOUZ,Astralis,Vertigo,13 - 7,W
,,,,,,,,,,,,,,MOUZ,Astralis,Mirage,3 - 13,L
,,,,,,,,,,,,,,MOUZ,Astralis,Overpass,13 - 10,W
,,,,,,,,,,,,,,MOUZ,FaZe,Overpass,8 - 13,L
,,,,,,,,,,,,,,MOUZ,FaZe,Nuke,8 - 13,L
,,,,,,,,,,,,,,MOUZ,FaZe,Mirage,13 - 11,W
,,,,,,,,,,,,,,MOUZ,FaZe,Ancient,4 - 13,L
,,,,,,,,,,,,,,MOUZ,FaZe,Nuke,8 - 13,L
,,,,,,,,,,,,,,MOUZ,FaZe,Vertigo,13 - 5,W
,,,,,,,,,,,,,,MOUZ,Spirit,Mirage,6 - 13,L
,,,,,,,,,,,,,,MOUZ,Spirit,Ancient,14 - 16,L
,,,,,,,,,,,,,,MOUZ,FaZe,Vertigo,9 - 13,L
,,,,,,,,,,,,,,MOUZ,FaZe,Nuke,4 - 13,L
,,,,,,,,,,,,,,MOUZ,Natus Vincere,Ancient,13 - 6,W
,,,,,,,,,,,,,,MOUZ,Natus Vincere,Inferno,4 - 13,L
,,,,,,,,,,,,,,MOUZ,Natus Vincere,Mirage,16 - 13,W
,,,,,,,,,,,,,,SAW,9 Pandas,Inferno,13 - 10,W
,,,,,,,,,,,,,,SAW,PGE Turow,Nuke,13 - 10,W
,,,,,,,,,,,,,,SAW,PERA,Overpass,13 - 11,W
,,,,,,,,,,,,,,SAW,paiN,Nuke,7 - 13,L
,,,,,,,,,,,,,,SAW,GamerLegion,Vertigo,13 - 9,W
,,,,,,,,,,,,,,SAW,System5,Overpass,13 - 10,W
,,,,,,,,,,,,,,SAW,Cloud9,Overpass,13 - 8,W
,,,,,,,,,,,,,,SAW,Monte,Vertigo,13 - 4,W
,,,,,,,,,,,,,,SAW,fnatic,Overpass,13 - 4,W
,,,,,,,,,,,,,,SAW,Ninjas in Pyjamas,Nuke,13 - 3,W
,,,,,,,,,,,,,,SAW,Virtus.pro,Ancient,6 - 13,L
,,,,,,,,,,,,,,SAW,KOI,Ancient,13 - 7,W
,,,,,,,,,,,,,,SAW,Agency,Anubis,13 - 7,W
,,,,,,,,,,,,,,SAW,9 Pandas,Overpass,13 - 1,W
,,,,,,,,,,,,,,SAW,Virtus.pro,Ancient,8 - 13,L
,,,,,,,,,,,,,,SAW,FORZE,Overpass,6 - 13,L
,,,,,,,,,,,,,,SAW,RED Canids,Overpass,13 - 1,W
,,,,,,,,,,,,,,SAW,Aurora,Nuke,1 - 13,L
,,,,,,,,,,,,,,SAW,9 Pandas,Nuke,13 - 11,W
,,,,,,,,,,,,,,SAW,Rhyno,Nuke,13 - 2,W
,,,,,,,,,,,,,,SAW,Espionage,Nuke,13 - 8,W
,,,,,,,,,,,,,,SAW,Entropiq,Nuke,13 - 5,W
,,,,,,,,,,,,,,SAW,Movistar Riders,Anubis,7 - 13,L
,,,,,,,,,,,,,,SAW,FORZE,Anubis,2 - 13,L
,,,,,,,,,,,,,,SAW,SINNERS,Ancient,9 - 13,L
,,,,,,,,,,,,,,SAW,Monte,Anubis,9 - 13,L
,,,,,,,,,,,,,,SAW,FaZe,Nuke,6 - 13,L
,,,,,,,,,,,,,,SAW,RUBIK,Anubis,13 - 5,W
,,,,,,,,,,,,,,SAW,9 Pandas,Inferno,13 - 10,W
,,,,,,,,,,,,,,SAW,9 Pandas,Ancient,5 - 13,L
,,,,,,,,,,,,,,SAW,9 Pandas,Anubis,13 - 5,W
,,,,,,,,,,,,,,SAW,PGE Turow,Nuke,13 - 10,W
,,,,,,,,,,,,,,SAW,PGE Turow,Vertigo,13 - 9,W
,,,,,,,,,,,,,,SAW,PERA,Overpass,13 - 11,W
,,,,,,,,,,,,,,SAW,PERA,Nuke,13 - 16,L
,,,,,,,,,,,,,,SAW,PERA,Ancient,13 - 3,W
,,,,,,,,,,,,,,SAW,paiN,Nuke,7 - 13,L
,,,,,,,,,,,,,,SAW,paiN,Vertigo,10 - 13,L
,,,,,,,,,,,,,,SAW,GamerLegion,Vertigo,13 - 9,W
,,,,,,,,,,,,,,SAW,System5,Overpass,13 - 10,W
,,,,,,,,,,,,,,SAW,System5,Nuke,13 - 9,W
,,,,,,,,,,,,,,SAW,System5,Vertigo,5 - 13,L
,,,,,,,,,,,,,,SAW,Cloud9,Overpass,13 - 8,W
,,,,,,,,,,,,,,SAW,Cloud9,Nuke,16 - 13,W
,,,,,,,,,,,,,,SAW,Monte,Vertigo,13 - 4,W
,,,,,,,,,,,,,,SAW,Monte,Nuke,13 - 9,W
,,,,,,,,,,,,,,SAW,fnatic,Overpass,13 - 4,W
,,,,,,,,,,,,,,SAW,fnatic,Vertigo,13 - 5,W
,,,,,,,,,,,,,,SAW,Ninjas in Pyjamas,Nuke,13 - 3,W
,,,,,,,,,,,,,,SAW,Ninjas in Pyjamas,Ancient,13 - 5,W
,,,,,,,,,,,,,,SAW,Virtus.pro,Ancient,6 - 13,L
,,,,,,,,,,,,,,SAW,KOI,Ancient,13 - 7,W
,,,,,,,,,,,,,,SAW,KOI,Vertigo,10 - 13,L
,,,,,,,,,,,,,,SAW,KOI,Nuke,16 - 14,W
,,,,,,,,,,,,,,SAW,Agency,Anubis,13 - 7,W
,,,,,,,,,,,,,,SAW,9 Pandas,Overpass,13 - 1,W
,,,,,,,,,,,,,,SAW,9 Pandas,Nuke,13 - 9,W
,,,,,,,,,,,,,,SAW,Virtus.pro,Ancient,8 - 13,L
,,,,,,,,,,,,,,SAW,FORZE,Overpass,6 - 13,L
,,,,,,,,,,,,,,SAW,FORZE,Ancient,16 - 13,W
,,,,,,,,,,,,,,SAW,FORZE,Nuke,9 - 13,L
,,,,,,,,,,,,,,SAW,RED Canids,Overpass,13 - 1,W
,,,,,,,,,,,,,,SAW,RED Canids,Nuke,16 - 13,W
,,,,,,,,,,,,,,SAW,Aurora,Nuke,1 - 13,L
,,,,,,,,,,,,,,SAW,Aurora,Anubis,7 - 13,L
,,,,,,,,,,,,,,SAW,Aurora,Ancient,13 - 10,W
,,,,,,,,,,,,,,SAW,9 Pandas,Nuke,13 - 11,W
,,,,,,,,,,,,,,SAW,9 Pandas,Anubis,13 - 4,W
,,,,,,,,,,,,,,SAW,Rhyno,Nuke,13 - 2,W
,,,,,,,,,,,,,,SAW,Rhyno,Vertigo,13 - 10,W
,,,,,,,,,,,,,,SAW,Rhyno,Overpass,13 - 6,W
,,,,,,,,,,,,,,SAW,Espionage,Nuke,13 - 8,W
,,,,,,,,,,,,,,SAW,Espionage,Vertigo,6 - 13,L
,,,,,,,,,,,,,,SAW,Espionage,Anubis,13 - 5,W
,,,,,,,,,,,,,,SAW,Entropiq,Nuke,13 - 5,W
,,,,,,,,,,,,,,SAW,Entropiq,Inferno,13 - 9,W
,,,,,,,,,,,,,,SAW,Movistar Riders,Anubis,7 - 13,L
,,,,,,,,,,,,,,SAW,Movistar Riders,Vertigo,8 - 13,L
,,,,,,,,,,,,,,SAW,Movistar Riders,Overpass,13 - 9,W
,,,,,,,,,,,,,,SAW,FORZE,Anubis,2 - 13,L
,,,,,,,,,,,,,,SAW,FORZE,Nuke,11 - 13,L
,,,,,,,,,,,,,,SAW,FORZE,Ancient,13 - 10,W
,,,,,,,,,,,,,,SAW,SINNERS,Ancient,9 - 13,L
,,,,,,,,,,,,,,SAW,SINNERS,Nuke,13 - 11,W
,,,,,,,,,,,,,,SAW,SINNERS,Anubis,11 - 13,L
,,,,,,,,,,,,,,SAW,Monte,Anubis,9 - 13,L
,,,,,,,,,,,,,,SAW,Monte,Vertigo,10 - 13,L
,,,,,,,,,,,,,,SAW,FaZe,Nuke,6 - 13,L
,,,,,,,,,,,,,,SAW,FaZe,Anubis,6 - 13,L
,,,,,,,,,,,,,,SAW,RUBIK,Anubis,13 - 5,W
,,,,,,,,,,,,,,SAW,RUBIK,Ancient,13 - 2,W
,,,,,,,,,,,,,,SAW,3DMAX,Overpass,10 - 13,L
,,,,,,,,,,,,,,SAW,Betera,Vertigo,13 - 3,W
,,,,,,,,,,,,,,SAW,FURIA,Ancient,7 - 13,L
,,,,,,,,,,,,,,SAW,Cloud9,Anubis,9 - 13,L
,,,,,,,,,,,,,,SAW,KOI,Nuke,13 - 4,W
,,,,,,,,,,,,,,SAW,OG,Overpass,16 - 12,W
,,,,,,,,,,,,,,SAW,Liquid,Ancient,13 - 4,W
,,,,,,,,,,,,,,SAW,RUSH B,Nuke,16 - 13,W
,,,,,,,,,,,,,,SAW,Enterprise,Vertigo,13 - 6,W
,,,,,,,,,,,,,,SAW,9 Pandas,Anubis,1 - 13,L
,,,,,,,,,,,,,,SAW,Rhyno,Inferno,13 - 11,W
,,,,,,,,,,,,,,SAW,AL QATRAO,Anubis,13 - 6,W
,,,,,,,,,,,,,,SAW,AL QATRAO,Inferno,14 - 16,L
,,,,,,,,,,,,,,SAW,Zero Tenacity,Nuke,13 - 11,W
,,,,,,,,,,,,,,SAW,fnatic,Anubis,16 - 13,W
,,,,,,,,,,,,,,SAW,9 Pandas,Inferno,11 - 13,L
,,,,,,,,,,,,,,SAW,Zero Tenacity,Anubis,13 - 8,W
,,,,,,,,,,,,,,SAW,Space,Ancient,13 - 8,W
,,,,,,,,,,,,,,SAW,Legacy,Nuke,13 - 11,W
,,,,,,,,,,,,,,SAW,Los Alpacas,Overpass,13 - 10,W
,,,,,,,,,,,,,,SAW,Metizport,Vertigo,6 - 13,L
,,,,,,,,,,,,,,SAW,Pompa,Inferno,13 - 5,W
,,,,,,,,,,,,,,SAW,PARIVISION,Nuke,19 - 15,W
,,,,,,,,,,,,,,SAW,The Prodigies,Anubis,13 - 10,W
,,,,,,,,,,,,,,SAW,Spirit,Anubis,10 - 13,L
,,,,,,,,,,,,,,SAW,Wildcard,Ancient,13 - 6,W
,,,,,,,,,,,,,,SAW,EYEBALLERS,Nuke,6 - 13,L
,,,,,,,,,,,,,,SAW,Looking4Org,Ancient,8 - 13,L
,,,,,,,,,,,,,,SAW,3DMAX,Overpass,10 - 13,L
,,,,,,,,,,,,,,SAW,3DMAX,Nuke,9 - 13,L
,,,,,,,,,,,,,,SAW,3DMAX,Ancient,13 - 10,W
,,,,,,,,,,,,,,SAW,Betera,Vertigo,13 - 3,W
,,,,,,,,,,,,,,SAW,Betera,Inferno,13 - 7,W
,,,,,,,,,,,,,,SAW,FURIA,Ancient,7 - 13,L
,,,,,,,,,,,,,,SAW,FURIA,Vertigo,7 - 13,L
,,,,,,,,,,,,,,SAW,Cloud9,Anubis,9 - 13,L
,,,,,,,,,,,,,,SAW,Cloud9,Nuke,17 - 19,L
,,,,,,,,,,,,,,SAW,KOI,Nuke,13 - 4,W
,,,,,,,,,,,,,,SAW,OG,Overpass,16 - 12,W
,,,,,,,,,,,,,,SAW,OG,Ancient,13 - 8,W
,,,,,,,,,,,,,,SAW,Liquid,Ancient,13 - 4,W
,,,,,,,,,,,,,,SAW,Liquid,Inferno,14 - 16,L
,,,,,,,,,,,,,,SAW,Liquid,Nuke,13 - 10,W
,,,,,,,,,,,,,,SAW,RUSH B,Nuke,16 - 13,W
,,,,,,,,,,,,,,SAW,RUSH B,Vertigo,11 - 13,L
,,,,,,,,,,,,,,SAW,RUSH B,Anubis,13 - 10,W
,,,,,,,,,,,,,,SAW,Enterprise,Vertigo,13 - 6,W
,,,,,,,,,,,,,,SAW,Enterprise,Inferno,13 - 2,W
,,,,,,,,,,,,,,SAW,9 Pandas,Anubis,1 - 13,L
,,,,,,,,,,,,,,SAW,Rhyno,Inferno,13 - 11,W
,,,,,,,,,,,,,,SAW,Rhyno,Overpass,13 - 11,W
,,,,,,,,,,,,,,SAW,AL QATRAO,Anubis,13 - 6,W
,,,,,,,,,,,,,,SAW,AL QATRAO,Inferno,14 - 16,L
,,,,,,,,,,,,,,SAW,Zero Tenacity,Nuke,13 - 11,W
,,,,,,,,,,,,,,SAW,fnatic,Anubis,16 - 13,W
,,,,,,,,,,,,,,SAW,9 Pandas,Inferno,11 - 13,L
,,,,,,,,,,,,,,SAW,9 Pandas,Ancient,10 - 13,L
,,,,,,,,,,,,,,SAW,9 Pandas,Anubis,13 - 2,W
,,,,,,,,,,,,,,SAW,Zero Tenacity,Anubis,13 - 8,W
,,,,,,,,,,,,,,SAW,Zero Tenacity,Vertigo,13 - 10,W
,,,,,,,,,,,,,,SAW,Space,Ancient,13 - 8,W
,,,,,,,,,,,,,,SAW,Space,Nuke,13 - 7,W
,,,,,,,,,,,,,,SAW,Legacy,Nuke,13 - 11,W
,,,,,,,,,,,,,,SAW,Legacy,Anubis,13 - 3,W
,,,,,,,,,,,,,,SAW,Los Alpacas,Overpass,13 - 10,W
,,,,,,,,,,,,,,SAW,Los Alpacas,Inferno,13 - 0,W
,,,,,,,,,,,,,,SAW,Metizport,Vertigo,6 - 13,L
,,,,,,,,,,,,,,SAW,Metizport,Ancient,11 - 13,L
,,,,,,,,,,,,,,SAW,Pompa,Inferno,13 - 5,W
,,,,,,,,,,,,,,SAW,Pompa,Nuke,13 - 9,W
,,,,,,,,,,,,,,SAW,PARIVISION,Nuke,19 - 15,W
,,,,,,,,,,,,,,SAW,PARIVISION,Overpass,16 - 13,W
,,,,,,,,,,,,,,SAW,The Prodigies,Anubis,13 - 10,W
,,,,,,,,,,,,,,SAW,The Prodigies,Vertigo,13 - 1,W
,,,,,,,,,,,,,,SAW,Spirit,Anubis,10 - 13,L
,,,,,,,,,,,,,,SAW,Spirit,Vertigo,7 - 13,L
,,,,,,,,,,,,,,SAW,Wildcard,Ancient,13 - 6,W
,,,,,,,,,,,,,,SAW,Wildcard,Nuke,13 - 4,W
,,,,,,,,,,,,,,SAW,Wildcard,Anubis,9 - 13,L
,,,,,,,,,,,,,,SAW,EYEBALLERS,Nuke,6 - 13,L
,,,,,,,,,,,,,,SAW,EYEBALLERS,Inferno,6 - 13,L
,,,,,,,,,,,,,,SAW,Looking4Org,Ancient,8 - 13,L
,,,,,,,,,,,,,,SAW,Looking4Org,Anubis,10 - 13,L
,,,,,,,,,,,,,,SINNERS,3DMAX,Overpass,13 - 9,W
,,,,,,,,,,,,,,SINNERS,9 Pandas,Ancient,13 - 5,W
,,,,,,,,,,,,,,SINNERS,Nexus,Inferno,13 - 10,W
,,,,,,,,,,,,,,SINNERS,Aurora,Ancient,13 - 7,W
,,,,,,,,,,,,,,SINNERS,ECLOT,Overpass,9 - 13,L
,,,,,,,,,,,,,,SINNERS,Sampi,Ancient,13 - 7,W
,,,,,,,,,,,,,,SINNERS,ALTERNATE aTTaX,Anubis,13 - 10,W
,,,,,,,,,,,,,,SINNERS,ECSTATIC,Overpass,4 - 13,L
,,,,,,,,,,,,,,SINNERS,500,Anubis,13 - 8,W
,,,,,,,,,,,,,,SINNERS,500,Anubis,16 - 19,L
,,,,,,,,,,,,,,SINNERS,Preasy,Nuke,2 - 13,L
,,,,,,,,,,,,,,SINNERS,MOUZ NXT,Ancient,13 - 9,W
,,,,,,,,,,,,,,SINNERS,fnatic,Ancient,7 - 13,L
,,,,,,,,,,,,,,SINNERS,HEROIC,Mirage,5 - 13,L
,,,,,,,,,,,,,,SINNERS,ILIN,Anubis,13 - 9,W
,,,,,,,,,,,,,,SINNERS,REAL MADRID,Ancient,13 - 10,W
,,,,,,,,,,,,,,SINNERS,3DMAX,Anubis,2 - 13,L
,,,,,,,,,,,,,,SINNERS,9INE,Nuke,13 - 9,W
,,,,,,,,,,,,,,SINNERS,Sampi,Ancient,10 - 13,L
,,,,,,,,,,,,,,SINNERS,TSM,Ancient,13 - 4,W
,,,,,,,,,,,,,,SINNERS,paiN,Anubis,8 - 13,L
,,,,,,,,,,,,,,SINNERS,eEriness,Anubis,13 - 11,W
,,,,,,,,,,,,,,SINNERS,eEriness,Anubis,13 - 5,W
,,,,,,,,,,,,,,SINNERS,9 Pandas,Ancient,13 - 8,W
,,,,,,,,,,,,,,SINNERS,ECSTATIC,Anubis,16 - 14,W
,,,,,,,,,,,,,,SINNERS,SAW,Ancient,13 - 9,W
,,,,,,,,,,,,,,SINNERS,Preasy,Inferno,17 - 19,L
,,,,,,,,,,,,,,SINNERS,Apeks,Mirage,13 - 16,L
,,,,,,,,,,,,,,SINNERS,Permitta,Ancient,6 - 13,L
,,,,,,,,,,,,,,SINNERS,Sprout,Ancient,0 - 13,L
,,,,,,,,,,,,,,SINNERS,Sangal,Ancient,13 - 5,W
,,,,,,,,,,,,,,SINNERS,ECLOT,Mirage,13 - 7,W
,,,,,,,,,,,,,,SINNERS,3DMAX,Overpass,13 - 9,W
,,,,,,,,,,,,,,SINNERS,3DMAX,Nuke,4 - 13,L
,,,,,,,,,,,,,,SINNERS,3DMAX,Ancient,13 - 2,W
,,,,,,,,,,,,,,SINNERS,9 Pandas,Ancient,13 - 5,W
,,,,,,,,,,,,,,SINNERS,9 Pandas,Overpass,13 - 10,W
,,,,,,,,,,,,,,SINNERS,9 Pandas,Nuke,13 - 16,L
,,,,,,,,,,,,,,SINNERS,Nexus,Inferno,13 - 10,W
,,,,,,,,,,,,,,SINNERS,Nexus,Ancient,5 - 13,L
,,,,,,,,,,,,,,SINNERS,Nexus,Nuke,13 - 10,W
,,,,,,,,,,,,,,SINNERS,Aurora,Ancient,13 - 7,W
,,,,,,,,,,,,,,SINNERS,Aurora,Overpass,10 - 13,L
,,,,,,,,,,,,,,SINNERS,Aurora,Anubis,13 - 6,W
,,,,,,,,,,,,,,SINNERS,ECLOT,Overpass,9 - 13,L
,,,,,,,,,,,,,,SINNERS,ECLOT,Nuke,13 - 4,W
,,,,,,,,,,,,,,SINNERS,ECLOT,Inferno,7 - 13,L
,,,,,,,,,,,,,,SINNERS,Sampi,Ancient,13 - 7,W
,,,,,,,,,,,,,,SINNERS,Sampi,Nuke,13 - 6,W
,,,,,,,,,,,,,,SINNERS,ALTERNATE aTTaX,Anubis,13 - 10,W
,,,,,,,,,,,,,,SINNERS,ALTERNATE aTTaX,Overpass,13 - 5,W
,,,,,,,,,,,,,,SINNERS,ECSTATIC,Overpass,4 - 13,L
,,,,,,,,,,,,,,SINNERS,500,Anubis,13 - 8,W
,,,,,,,,,,,,,,SINNERS,500,Anubis,16 - 19,L
,,,,,,,,,,,,,,SINNERS,Preasy,Nuke,2 - 13,L
,,,,,,,,,,,,,,SINNERS,Preasy,Ancient,13 - 1,W
,,,,,,,,,,,,,,SINNERS,Preasy,Anubis,8 - 13,L
,,,,,,,,,,,,,,SINNERS,MOUZ NXT,Ancient,13 - 9,W
,,,,,,,,,,,,,,SINNERS,MOUZ NXT,Anubis,13 - 8,W
,,,,,,,,,,,,,,SINNERS,fnatic,Ancient,7 - 13,L
,,,,,,,,,,,,,,SINNERS,HEROIC,Mirage,5 - 13,L
,,,,,,,,,,,,,,SINNERS,ILIN,Anubis,13 - 9,W
,,,,,,,,,,,,,,SINNERS,ILIN,Overpass,13 - 8,W
,,,,,,,,,,,,,,SINNERS,REAL MADRID,Ancient,13 - 10,W
,,,,,,,,,,,,,,SINNERS,3DMAX,Anubis,2 - 13,L
,,,,,,,,,,,,,,SINNERS,3DMAX,Inferno,10 - 13,L
,,,,,,,,,,,,,,SINNERS,3DMAX,Ancient,13 - 11,W
,,,,,,,,,,,,,,SINNERS,9INE,Nuke,13 - 9,W
,,,,,,,,,,,,,,SINNERS,9INE,Ancient,25 - 21,W
,,,,,,,,,,,,,,SINNERS,Sampi,Ancient,10 - 13,L
,,,,,,,,,,,,,,SINNERS,Sampi,Anubis,5 - 13,L
,,,,,,,,,,,,,,SINNERS,TSM,Ancient,13 - 4,W
,,,,,,,,,,,,,,SINNERS,TSM,Mirage,16 - 13,W
,,,,,,,,,,,,,,SINNERS,paiN,Anubis,8 - 13,L
,,,,,,,,,,,,,,SINNERS,paiN,Vertigo,9 - 13,L
,,,,,,,,,,,,,,SINNERS,eEriness,Anubis,13 - 11,W
,,,,,,,,,,,,,,SINNERS,eEriness,Overpass,16 - 14,W
,,,,,,,,,,,,,,SINNERS,eEriness,Anubis,13 - 5,W
,,,,,,,,,,,,,,SINNERS,eEriness,Overpass,13 - 5,W
,,,,,,,,,,,,,,SINNERS,9 Pandas,Ancient,13 - 8,W
,,,,,,,,,,,,,,SINNERS,9 Pandas,Anubis,17 - 19,L
,,,,,,,,,,,,,,SINNERS,9 Pandas,Overpass,13 - 10,W
